,body
1555,Good
1556,It still fails to make Cellular calls n much more...
1557,"Device integration should be simple, no battery, wifi should not compulsory.If you like wireless connectivity, then u should not buy this product."
1558,Gave 4 star just becoz... I cudnt link gaana and hungama app for music...
1559,"Confined to Amazon apps, go for Google Nest mini which is equalant in sound with a lot better AI"
1560,Sometimes We have to speak three four times then it started to listen us.  Gen 4 recognition is much better
1561,A very good device with good music quality. Alexa voice assistant is very good.
1562,NIce product and its worth for the price.
1563,It has a lot of features. I am not sure how useful it is for an Indian household in current times
1564,"Overall good purchase. There are very less platforms to link,like jiosaavn, gaana not available in India."
1565,"Sound quality is unbeatable , noone can beats Alexa Baby for Sound Quality such a lovely sound i heard ."
1566,Excellent product and performance
1567,"Throughly enjoying Alexa ,kids love it .Makes life easy in choosing songs , Regional songs Alexa find it difficult to understand. Rest is a breeze"
1568,Seems to be refurbished renewed product
1569,Amazing and smart device
1570,alexa is quite comfortable
1571,Excellent friendly
1572,It made my work very easy and fast.
1573,Everything is fine....it is also compatible...bt it also need a battery so i can take is with me anywhere...
1574,It’s a great fun
1575,Superb
1576,"Good hardware,bad software"
1577,Sound Quality of Eco dot (3rd Gen) has improved alot.Worth buying this Amazon Product.
1578,Terrible product
1579,Got a faulty product and also replaced product was without power cord..Bad experience from Amazon
1580,Alexa product is super amazing.. My granny was surprised to experience the unbelievable way of understanding Alexa adapts to.
1581,It was really having good skills and very fast response I liked it.
1582,Tamil rhymes should be included in it...Its playing only English rhymes..When is connected to internet it should play all things...
1583,Love hear songs with this alexa
1584,Best speaker everLoved it😘👍👍👍👍
1585,Voice recognition is most highlighted feature of Echo.It catches perfect phrases and get exactly what you want.
1586,This device is not compatible with many products available in market
1587,Every thing is good in this productI bought a alexa and a wipro smart bulbBoth are working fine
1588,It cannot play songs from You tube. Rest is okay.
1589,"The media could not be loaded.
                



 Good product"
1590,
1591,The hardware on the Echo Dot is great compared to Google Home Mini but I didn't like Alexa much. Google assistant is much better in terms of the intelligence.
1592,Please add a feature to connect multiple device via bluetooth. I cannot play music using bluetooth in multiple echo.
1593,Very Very awesome product of Amozon.
1594,Fantastic performance ! Worth money
1595,Not recognising the message and not delivering the things as u want
1596,Quite impressed from Alexa
1597,I liked Alexa a lot. Voice recognition is amazing. The only fact I disliked is it needs constant plug in and strong wifi.
1598,Best smart speaker. I and my family are really enjoying a lot with Alexa. Thanks Amazon.
1599,Work wonderful.
1600,Very very very happy and good product
1601,The media could not be loaded.
1602,Amazing sound from this small speaker. Easy connectivity.
1603,I got prodicts delivery yesterday and i am happy with this product but it plays only amazon playlist and needs wifi evrytime to work.
1604,Good
1605,During listen songs alexa not listen my voice. And many times i says some command but alexa responce differ answers
1606,"The media could not be loaded.
                



 After 3 months of use condition of device is on video."
1607,Overall ok type not that much satisfied as expected
1608,All perameter is ok
1609,Not of much use just for timepass
1610,"very good product, my children are enjoying a lot- dancing, singing, playing with alexa, also good old malayalam songs are also there"
1611,Awesome products 👍It helps me in everything ☺️
1612,"Everything is ok, but music library is not sufficient, not getting old Bengali songs, not getting Regional current news."
1613,Awesome intelligent product
1614,"Value for money product, build quality is good, sound quality is good. but somewhere lacking in answering (not like goggle home mini)"
1615,Sound is good.  Wished it was dust proof.
1616,Cristal clear sound and super quality microphone that can catch voice from far distance
1617,Super quality
1618,Voice/Sound is not clear
1619,Does not have battery
1620,Very Useful
1621,"Very good product and once you get used to it, it's the best companion. Voice recognition is very nice from any room you can command it."
1622,It is an excellent device and work in progress. It shows what can happen in future through machine learning. I am predicting with in 3 years words 20 percent household would have smart speaker.
1623,A wonderful product. Small in size. Near perfect speech recognition ability. Excellent audio quality.
1624,"Excellent product, must buy it to fill real experience of new technology."
1625,"Super,"
1626,Alexa is one of the best product or Amazon.You can try it.I feel utmost satisfiction of this product.
1627,"Hello, iam Burman and I'm very much imppressd with Alexa performance and I have recommended it to my friends and family"
1628,Only drawback is that it did not get enought bass i am little disappiointed in that
1629,Amazing product
1630,Very good and very useful item.
1631,I bought this echo dot for 2300 and satisfied with the performance
1632,"It's very nice, I am happy with it."
1633,Pathetic  it stopped working after 14 hours now id have to take it to service center  or call customer  care
1634,"Sounding system is good ,but it has to be have chargable battery inside to use multiple movable places"
1635,"Everything is great but, voice recognition is little weak. But it's ok as I bought it for 2k"
1636,Good product
1637,"its totally worth it, am so impressed by thiss"
1638,Best and awesome ❣️
1639,"it is great, it can tell the weather, news, stories, audio books, recipes etc. but it doesn't open apps on my smart TV."
1640,I try first time this type of gadgets but it is more intelligent and useful device.
1641,Alexa echo Dot is a very good deviceBut u can't do call or message by linking ur phoneYou can only call from the Alexa appOr you can someone else with another Alexa
1642,Portability and integration of this device are good
1643,There should be inbuilt chargeable battery
1644,Fantastic product and way better than Mi google assistant. Go for it
1645,We are loving you it.Only disoppintment is it doesn't support regional language.And you can't book OLA/UBER other than home location.
1646,Superb
1647,"Hindi language is also goodGood looksBetter than google home minigood recognition of voiceBought it 2,299It is totally value for money"
1648,I bought this for my daughter and she loves it.
1649,voice is low
1650,Good product. Not able to connect with wipro bulb
1651,Enjoying
1652,Recommended
1653,"Had a complaint about low volume, still facing the same with new device."
1654,I like it
1655,Very good voice recognition and very good sound quality
1656,It's really a good device for everything. Loved it
1657,Great
1658,I got my echo device but there was no adpater through which I can plug in.
1659,Good but need some assist who has already used echo
1660,Nice product...
1661,No doubt it's best.
1662,Couldn't able to connect it through voice recognition and having lots of difficult in using it
1663,Overall good device.
1664,Its turns out to be your best informer... its like carrying a learned person ... an all rounder with you ... who can do whatever you want in terms of sound...
1665,Worst delivery and its Made In China. Amezon should really work on that part.  It should not be made in China.
1666,Always there will be a connecting issue..
1667,Just amazing and pretty useful
1668,Defective product
1669,Very poor quality
1670,I don't see how I can use this any different from my mobile phone
1671,"Superb quality ...u can access it from order room also...only sad part was Amazon packing, it came in normal polythene...no Amazon brown box.."
1672,It's a lot better than the buggy 4th gen alexa...
1673,"The media could not be loaded.
                



 It's too good and quality is superb 😊 thank you Amazon"
1674,Its speaker is decent but the quality of woofer is not good at all its been 6 months from my purchase date and the sound’s expulsions are seriously an issue to be solved.
1675,Excellent amazing awesome nice wonderful
1676,"alexa itergration,voice recognition and sound quality is very good 👍......also looks pretty"
1677,All is well but product was not checked before delivery. I have purchased 2 piece both are defective being not charged n not working without electricity.
1678,"After a long research I chose to buy Eco dot during Amazon Prime Day sale.Good sound quality, voice recognition. My daughter is enjoying all the skills for kids."
1679,Every feature is excellent. Voice quality and speaker quality is also very good. The only missing thing is Tamil language.
1680,There is no point of buying a gadget if it has bo battery backup...ALEXA YOU ARE POOR
1681,Overall a nice experience. To promote the device amazon prime membership should be given free once for a year so that the usefulness of the device can be known
1682,"Amazing. My mom fell in love with this.But could be improved. More music services could be added like youtube music, spotify, etc."
1683,"Sound reception quality needs to improve. Often you need to repeat commands for Alexa to hear,  if you are little far from device. Rest it's a great addition."
1684,"most of the time alexa failed toplay bengali rabindra sangeet, Indian classical music"
1685,Superb.
1686,Voice recognition is good but in full volume sometime it gives problem otherwise very good and worth purchase
1687,
1688,Superb sound Quality and best online music companion
1689,Alexa Don't Understand Indian  regional Languages.
1690,Vol not good at full
1691,Fast 10 days worked well. Now it has stopped played songs.
1692,"This was a great product to experience, thank you Amazon"
1693,Received with good package. Working fine. But voice recognition is not working perfectly. Other things OK
1694,"It's not acting fast, not recognising the voice, not connecting to the internet quickly."
1695,The whole family is very happy to use it easily in Hindi and English both languages
1696,Almost good..but I can’t connect my IPhone hotspot with alexa...why??Solution pleaseThank you AmazonIts  apps shows 2nd generation why??
1697,I liked all except not being portable or at least extended service of portability.(add on)
1698,Go for it.
1699,"Voice recognition and Alexa integration is excellent the slight drawback will be audio quality, which you could not expect in speaker of this small size..."
1700,"One more great product from Amazon. Its awesome, Entertaining. Like it ❤"
1701,Perfect sound and clear mic and speaker operations
1702,"The media could not be loaded.
                



 Cool device. With excellent sound quality"
1703,I don't like at all. Only work on Wi-Fi
1704,Very good
1705,Sound is not that good but alright.Also do not have all the answers correct. Acc. To the price product is average
1706,Bad
1707,Alexa is bad
1708,"The media could not be loaded.
                



 Overall it's okk ... good ... brought in prime days @2.3k......"
1709,Alexa is very good for listening news and music sound is also very good and it can Recive your sound from far also very good must buy things
1710,It takes more time to catches internet.and some time it does not catch internet.Although internet  avability is good through jio.
1711,"Very Late Response aur bologe kuch sunegi kuch 2,3baar ek song ko lag jata h bajane me"
1712,Product not connected and very energy consuming
1713,It is too bad cannot connect to Internet always boring product I waana send back it to u
1714,"Very bad sound quality, not adequate bass . Sound clarity is poor."
1715,"Best gift I could get my mom, she loves it. Great product, supet efficient"
1716,Kammaal ki chiz hai... Baccho ke time pass ke liye accha hai...
1717,Nothing to say... Simply superb
1718,"It's an amazing product, after some day use you simply start love Alexa."
1719,Exsept sound quality all are waste and please don't buy and people having Wi-Fi router can buy this.Its waste of cost.
1720,I am using Echo Dot with Fire TV stick I got best product as always
1721,"It is very good, its sound is great and you should keep a in a echo room so the sound will be extremeAnd it has a adaptor"
1722,"Echo dot 3 is an good product ,better sound quality and good in voice recognition . But I had an litte fault on that product . Which is restarting the device automatically 😓"
1723,A friend to talk to when u r alone
1724,"I liked the quality of voice recognition but it's most of the time say ""I don't know"".... whenever I ask about something it says mujhe nhi pata.... searching engine is poor..."
1725,"No word, Alexa is always Genius."
1726,"good voice and easy for old people. just say Alexa music, then music will flow."
1727,Gift
1728,Nice product
1729,Nice product as expected
1730,NICE ONE
1731,"The media could not be loaded.
                



 Alexa Is a very smart speaker and talented"
1732,Go for Alexa if you want a human ai voice and if you want to experience Amazon music.
1733,"The best Smart Speaker👌It has Good Sound and Decent Bass, Alexa Rocks✌️"
1734,Dhinchakkk superve fabulous amazing qualityAnd it's clothe covering it's look like premium quality and it's ring light so cool and peace
1735,Some songs are not available.
1736,Working Perfectly With Smart Products Integrated Through Alexa App.
1737,Good sound and build quality is too good.My experience is amazingSo thanks to Amazon
1738,"Nice product ,clear voice nd sound quality ,alexa integration is too good,best for single room,satishfy awesome productBut box  damaged whn it dellivered to me"
1739,"The media could not be loaded.
                



 I like it Super voice quality👌👌👌👌👌thank you"
1740,Value for money
1741,It was great for first few month. Now voice of the speaker is very bad.it irretates
1742,"Does not connect to my smart TV and Bose 300 after multiple attempts (I have given up on it now). Does not play anything outside Amazon apps (Eg. YouTube, etc). Poor voice recognition quality"
1743,Long way to go. It pics music only from Amazon music
1744,Best product
1745,It was wonderful device that I have got. Thanks Amazon
1746,"everything is good infact sound is superb but it doesnot have any battery , so you cant travel with this."
1747,Great purchase. Must have product
1748,Very good
1749,"Alexa is good but it's not working in Hindi language ,but I think dat it is not the latest version of Alexa which include HINDI language .so kindly help me out of this ......Kindly exchange it , if possible ."
1750,Facing some problem in Alexa Device and surprisingly unable to connect or contact  with any service Center to check the problem .
1751,"Once alexa starts some song or anything she doesnt listen, I have to physically press the buttons to make her stop. Trying to get the product exchanged"
1752,Great product worth for the money and sound quality is better.
1753,My kids liked using Alexa to play songs and asking question related to school subjects. It's been helpful.
1754,खराब साउंड
1755,This product is very useful for education and entertainment it realise us that someone is with you. Nice product  Rating : ⭐⭐⭐⭐⭐
1756,"Alexa voice recognition quality is good and sound quality is very good,, excellent product by Amazon."
1757,Good & entertaining product
1758,Amazing....but little bit discrepancies i.e. sound is not sharp clear and difficult to pair with sony bravia smart tv..
1759,"Thanks for Amazon for Alexa it's realy usefull to me good sound,"
1760,Value for money. My parents are just loving it. They are so amazed and it has became there friend
1761,Overall very good product..I love the sound quality. But needs some improvements in alexa hindi coz sometimes she doesnt recognise what we are saying....
1762,"I purchase for 21 days lockdown period ,worth,very happy"
1763,Used  product recieved and their are scratches on all over Alexa and the charger as well
1764,"Nothing to say, it's all perfect"
1765,The media could not be loaded.
1766,Mindblowing and only superb. Paisa wasool go for it... m loving it
1767,Everything it will update me daily and it is like news update
1768,I like everything in alexa😁
1769,"Not satisfied with resulted queries. Poor output, quality of sound is awesome"
1770,It was really nice and voice clarity was superb.... Thank u Amazon for giving me this product for 2k .... Love u Amazon prime offer.....
1771,Good one
1772,Product is so friendly... we will get to know the updates... I bought it during great Indian festival.. that price is too low👍👍👍
1773,"I liked audio quality,response time,connecting range,stunning design but dis-advantage is skills and custom made integration music like some other app.need kids oriented skill."
1774,good everything about the device is good
1775,I like the product
1776,Alexa does not know everything....as i said information about topic as corona....it said sorry i don't know this......just link Alexa with Google or youtube.
1777,"very useful product, must be there in home as a part of advanced technology."
1778,Alexa good sound quality and good function and good boys and good material user thank you Amazon and thank you
1779,Very good
1780,Speaker sound quality is so good in this price range
1781,I have made a purchase on 4000 and very next day price was reduced to 3000 ??? I have sffered a loss of 1k ..there are no options to return ....bad choice
1782,Everything works
1783,Thanks Amazon for providing at such a discounted price.
1784,"Really nice , I was worried whether spotify would work or not but yeah,  it supports spotify!!"
1785,We can on the lights incase we directly can't...And Alexa can play songs just per the comment.
1786,Always there is a connectivity issue customer care people are not able to help out on this
1787,It's play only on internet.if you are in law network area then it's doesn't work fine.its can't play jio savan music at all time.
1788,Alexa stopped working within one month. And i can replace it as there is no were to call.
1789,This help my grandpa recollect his old memories and have some chat
1790,I liked it
1791,Good
1792,Really good built guality must buyFull worth of money👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻🏅🏅🏅🏅🏅🏅🏅🏅🏅
1793,It's a very intelligent product
1794,worst thing I ever bought from amazon...very poor software.. wastage of time and money
1795,Alexa is amazing. I just say alexa..and there you go! Made my life easier a lot.
1796,I think echo dot 3 is the best smart speaker for my daily usage and browsing
1797,It is a very useful product. One should have it to experience the change.
1798,Batary was not charging. Felt that they had given used Product. Not new.
1799,"Not even a month, just two weeks and it's not working, not even powering up. It doesn't have some music tracks as well."
1800,I like it
1801,Not working properly
1802,Wonderful product I thought that the sound will not be that high but the sound is beyond my thinking
1803,Good sound quality and recognition... App is little slow rest is fine ...Kids are enjoying it
1804,Good one
1805,I brought this eco device which was not working. Return the same 2month ago but still not received my refund.
1806,There is no that much of Tamil related thing
1807,AI system needs improvement. Poor performance when it comes to song selection especially with old hindi classic songs.
1808,"The media could not be loaded.
                



 Ausome good of all😱😱😱😱😱😱😱😱😱✅✅✅✅✅✅✅✅✅🤗🤗🤗🤗"
1809,"Not very useful except to hear jokes, news, weather reports"
1810,Good enough
1811,"It's too good product, kids are much happy with this. Enjoying with songs. & learning also. Expecting English knowledge will also improve."
1812,"I love this Product.Nice One,Worth for Money,I have used more than one month and it's working fine.."
1813,Need to improve voice recognition. Sound quality is very good. Overall the product is worth. Thanks Amazon.
1814,The look..the sound..It is simply Sexy product
1815,"I already have one,and ordered another because it was on deal,really great product"
1816,Food
1817,So impressed with the Device. I was having trouble to connecting it with the same phone mobile data.  But now I'm just enjoying it. And alexa can do so much..
1818,"Hi, I bought Alexa few days back. It is not responding to our voices much. not a good experience."
1819,"The media could not be loaded.
                



 This is Best App"
1820,Build quality is great but when it comes to answering it's not as good as google
1821,Voice recognition is very good but not best compared to Siri or Google home.
1822,Nice product and very helpful for my work ...thank you
1823,Loved with this
1824,Works very well and fast. It can be connected through Wi-Fi or Personal Hotspot it's sound quality is very good
1825,It was not working most of the times
1826,Great buy. Must have product.
1827,Alexa changed my life completely. Thankyou Alexa.
1828,It's good...really handy product...easy to set up...nice sound quality...
1829,Not bad actually amazing ☺️
1830,"Very good voice quality, seamless music  play"
1831,good
1832,Many times its irritating.  I am not using it much.  Only for music.  For other purpose its almost useless or irritating.  Long way to go.
1833,Sound quality awesomeSound definition awesomeConnect issue
1834,Having lot of issue to connect with WiFi and now it's stops to connect with wifi
1835,"Only use as my music,"
1836,not upto mark
1837,Not bad
1838,You can invest in it it's good 😉
1839,"Good ,go for it ."
1840,"Product is very good, being 1st time user myself and my family found it more useful n enjoying"
1841,nice product..enjoying with alexa
1842,In this price great product
1843,Supper Awesome product by Amazon
1844,Suppabb...ful satisfied
1845,The bottom attracts more dust.It must had come with some amount of battery 🔋
1846,"Rubbish, highly disappointed"
1847,nice product value of moneykid also enjoy it
1848,"The media could not be loaded.
                



 I am happy with this amazing speaker..loved itGo for it"
1849,Easy use and connect
1850,It’s not upto expectation. Stops playing music in between even though network is good
1851,This is aa very good product and I can say you all buy this amazing thing I love you amazon
1852,Simply outstanding
1853,Base is very bad. Its like tapping on a wooden table .. rest everything is fine
1854,Nice product
1855,Superb
1856,Very good ...Best Alexa device ...
1857,"The media could not be loaded.
                



 Good quality product..."
1858,It's great product.. Better than any only bluetooth speaker..
1859,"Velue of money but one thing is missing amazon prime music , we have to subscribe prime for it"
1860,Na
1861,Quick response
1862,Very good sound quality. Voice recognition and follow up needs improvement.
1863,"First of all, it should have in-built battery. Connecting to internet and Bluetooth is bit slow, otherwise its fine."
1864,I gifted to my family and they loved it. If you explore it certainly have really good features. Sound quality is good as well i mean good for single room.
1865,Wonderful product.
1866,Worth getting for room automation
1867,"According to me, I have to work on the software and there is no Google Spot in it, because of this I do not consider perfect. The sound is very good"
1868,It’s a must try gadget and it is working awesome in recognising kids voice also.
1869,Needs improvement
1870,Alexa takes so much time and trys to connect with wifi and Bluetooth or any other device
1871,Sound clarity is bad and voice recognition is not good. Was not up-to the expectation.
1872,Love it
1873,Voice recognition and sound quality is good but integration is hard and most of devices to integrate have to struggle. I didn't found much useful in day to day life.
1874,Very disappointed with quality of Alexa.  Most importantly it is getting hanged easily
1875,I thought it has internal battery without which it is not good for me
1876,👌👌
1877,"Recognition of requests is hard, you ask something to play it plays totally different items."
1878,Less general knowledge
1879,It's good product for purchase.Iam so happy to this product.My son's like to get the product.
1880,Nice sound quality.thanks to Amazon for quick delivery.voice recognition is not good.
1881,"Very interesting and useful product from Amazon.With data prices plummeting, usage will sharply increase and also sales."
1882,The media could not be loaded.
1883,Good quality products
1884,All are fine but need to improve skills
1885,Worth buying.. good product.. loved it
1886,Entertainer
1887,Worth for money
1888,Better
1889,"Nice Sound Quality,High Bass,Nice voice recognition,Sometimes Alexa not answers well satisfied"
1890,Good. Could not explore full functionality due to restrictions.
1891,I like the most of this speaker i can manage my almost works through this
1892,It's ok it's very difficult 😥 to find gazal n other old 90's songs
1893,Thanks to Amazon for the product. Every body enjoying this product in my family....
1894,Nice
1895,Good Product..
1896,I ordered it for my wife as gift. Everyone in my family liked it so much. Worth for money.
1897,Sound quality is excellent and voice recognition is also good according to price.
1898,Awesome device but needs some improvement
1899,Very happy to buy this product. It is very useful to entertain the kids.. 👍
1900,Defective and first time I'm disappointed with Amazon
1901,Fantastic product.... really good
1902,I would liked it more if it was made in India even willing to pay more 500 rs extra if it was made in India don't like made in china
1903,good speaker but sound is Low and also hindi Language is not recognisabl
1904,Sound quality is very good but sometime it didn't understand what i am asking need to improve this
1905,It needs to be connected and also needs a WiFi connection. This is literally a disappointed product. Many times not connecting Bluetooth also.
1906,Easley connect with bulb hometheater n sound quality owesome
1907,Good speaker..But doesn't catch sound properly even when we r close to it...
1908,Works as expected
1909,"Good sound and good quality, I m happy.Go for it"
1910,Best with the best price
1911,"Voice recognition is superb, very nice sound quality. Simply amazing device. Love it."
1912,good
1913,I use this product for voice recognition & for listening songs with best sound quality..
1914,All over device is cool n cute🥰🥰  But ye wireless hoti to aur bhi convinient hota
1915,The audio quality is good enough and much fun to interact with it
1916,"The media could not be loaded.
                



 Value for money 💰💰💲💲💲"
1917,Excellent
1918,My best friend ❤️ alexa
1919,"I didn't like at all I am going to throw it in dustbin, while sitting up voice recognise profile"
1920,Cant ahle to recognize voice and alexa is not able to understand voice but sound quality is good
1921,Voice recognition is good. Very less sound in comparison to other bluetooth speaker.
1922,Great
1923,Smart bulb is missing from pakage
1924,Very good product in this price
1925,Seems this is best ever gift to my 4 year old nephew. Alexa has become her best friend and he can Drop-in to my device and talk to me anytime! He is loving it!
1926,Perfect working but need to connected with very good internet connection
1927,don't want alexa this doesn't work my waste of Money
1928,"Nice product and it is also working very well , nice voice of alexa"
1929,It's useless she doesn't understand anything
1930,Nice Product with lots information
1931,Price is too high similar product available in very low price
1932,"I simply love this product. Very innovative and useful. No more searching of songs, just ask Alexa😀👍"
1933,Excellent product by Amazon
1934,Working properly
1935,Ek number...mast hai...maza aa gaya... Aur main ye maza pure hindustan ko dena chahta hu...
1936,Voice recognition is smart
1937,It is a superb product. I loved it. It recognizes our voice from anywhere in the home. It is more advanced than echo Dot 2nd gen. It is excellent.
1938,"Amazing product, got this one in 1999 with smart bulb."
1939,Excellent
1940,EXCELLENT PRODUCT AND MUST BUY
1941,It is a marvel of technology.
1942,Awesome sound carity & simple to use most liked by my childs ...
1943,Nice
1944,Nice product listens to calls nicely. Better than my gf :)
1945,"It won't understand what I tell, I will ask something it will understand something. bad"
1946,Not intrested. No sound clarity
1947,"Some how good, but to improve its AI and voice command"
1948,Nice product
1949,Very bad.. Damaged product received.. Now can't able to connect to customer service
1950,Alexa and Eco are worth anyone's buy. Try it to experience Life.
1951,Excellent product by Amazon. Amazing sound clarity and response to verbal commands. A must have for all fun loving guys who can get to hear by simply calling Alexa !
1952,Need to improve understanding of this devise by upgrading programs
1953,"Echo dot is a good option for listening to good quality music , it has good speakers very good sound quality!"
1954,Product is perfect as expected. liked it.
1955,"Its simply awesome, loved it"
1956,Best 2300 rs spent everGreat device
1957,"The media could not be loaded.
                



 Great speaker 👍Superb build qualityNice soundFast delivery"
1958,Great Smart Speaker Must Buy very compact and handy.
1959,"The sound quality is exquisite. However, it reboots automatically and sometimes doesn’t connect. Otherwise it a great smart speaker!"
1960,Good Speaker in low price.
1961,Really nice. Everyone should use the new innovations like this.
1962,Alexa is Amazing...we love it .
1963,Nice product on this price sound quality very Crestal and clear
1964,Compare to Google home mini only sound good
1965,Came across couple of issues but not a major one to populate. However met my expectations
1966,very good device 😊
1967,Awesome experience. Hats off to Amazon.
1968,I love it
1969,"Good for kids, works well"
1970,App is not available in play store. How to use in qatar. U said use in qatar but how
1971,Super product. Best virtual assistant👍👍.  The sound quality is wonderful. I ask my doubts to alexa.👍
1972,Sound and all good when new but suddenly stopped in 2months and there is no way to contact to seller for repairing as warranty is for 1year
1973,The media could not be loaded.
1974,Awesome product by amazon.
1975,It is very helpful it gives all answers and sound quality is very nice ⭐⭐⭐⭐⭐  buy it price is also very less. Nice product.
1976,Alexa is workibg nice
1977,As expected
1978,I am really very happy with Alexa its really very friendly and helpful and a good time pass 😃👍🏻
1979,It's amazing to performance
1980,Never imagined about the usefulness of product in day to day life at reasonable price
1981,The product is good and with alexa it becomes even greater
1982,Alexa has good sound quality and has nice voice recognition.
1983,Amazon prime membership not given which was suggested at the time of order
1984,Good product
1985,Everything is nice but it doesn't helps me in connecting YouTube so i am not able to get recipies of indian food they are very limited..
1986,No battery backup.  Provide external battery backup so that we can carry echo dot wherever we go...
1987,Doesn't connect easily with the smart build which comes with it.Bulb becomes non responsive within few Hour.
1988,another good one from amazon
1989,Need to add fm and you tube connectivity
1990,నైస్
1991,All over good product.
1992,This product required Amazon prime membership which cost is 999 Rs/ year. Its cheating to me. It was not mentioned anywhere at time of purchase.
1993,Same as describes
1994,Better but some improvements needed in it
1995,"Very disappointed,😟😟 amazon like big company unable to play vagabat gita"
1996,Voice recognition is little poorAnd sound quality is good..
1997,"The media could not be loaded.
                



 YouTube music should be there"
1998,It's not for normal user
1999,It is better than other speakers.Must buy 😍
2000,Alk of three Voice recognition alexa integration and sound quality areexcellent
2001,good experiance.
2002,"Very nice product , but only one negative point is there it works with wires . It shiuld be wireless"
2003,Great productGreat sound quality
2004,Sound quality is really really awesome.Clear sound quality.Totally 'paisa vasool' product.Thank to amazon.
2005,Very good product... Quality is the best. It does understand almost all your commands. Value for money.
2006,"Alexa Skills are limited, many available in US not available in india"
2007,Calling facility needa to be improved.
2008,Sound quality bass is low only one thing or another thing are ok
2009,"Voice recognition is horrible, never expected it to be so worst, need to literally scream 2-3 times that's when she plays the music"
2010,Too good
2011,My best friend Alexa...good clear voice ..keep talking to her and she response immediately
2012,Mostly used by my kids. They love it.
2013,This is my 2nd echo. Doing welllllll.
2014,"The media could not be loaded.
                



 poli macha vere level item"
2015,It's a good smart speaker but it doesn't understand some of my commands which is a disappointing factor.
2016,This product is really good but after switching off it should connect directly but it's doesn't work and sound and audio quality la very good but connecting isain defect in this bot product is ok
2017,Good service
2018,Excellence  Iproduct it controls  all my device from tube lights to washing machine all my devices it is useful product and buy at the dasara times the rate low down
2019,Alexa is worst product if you say alexa mosquito repellent start and she said I have found from reference.Com etc. Waste of money
2020,I loved it wish the volume cud go higer than 10
2021,"For songs, news bhajans etc."
2022,"It's really to good . My children like very much , me and wife also like Alexa ."
2023,Very excellent product eorth to buy in offers
2024,Voice or sound quality is good.....
2025,"High quality  sound.  But connection is  not so fast, it's not because of  data connection. Often  used to say I'm  having  trouble  in connecting."
2026,Alexa is good for room and it can pair others speakers for party. We can play with it..
2027,I've got wipro bulb replaced but other colours still are not working.
2028,Op
2029,Just a toy
2030,"Do not buy this product, very bad user experience, not connecting with my wifi"
2031,Increase Hindi language further. And all is well
2032,It’s great!
2033,Its seriously amazing. I don't know why people leave a bad review. I just love this product. I am so happy.  It's far better than Google home.
2034,It doesn't connect automatically to the same wifi hotspot !! I need to setup everytime i use Alexa n iys very irritating to do so !!
2035,VERY GOOD FOR KIDS AND OLD AGE PEOPLE & AND ALSO FOR HOMEMAKERS. GET ALL INFO IN ONE SECOND. JUST ASK ALEXA AND ENJOY .
2036,No
2037,"Truly smart, slight lag in processing commands"
2038,Me & my family likes it
2039,No time display facility
2040,Nice
2041,"Sound quality was awesome, ya it works good"
2042,Nice one.
2043,Happy with the product
2044,Good product and very entertaining
2045,I couldn't find it very much useful
2046,It's soo good and it helps us go and buy it and also good from Google assistant and it has all the songs but if they add bengali songs or regional songs so no one can match with alexa
2047,Awesome product buy itIf you you are finding a good blurtooth speaker with voice controler then only buy this product
2048,"integration is good, but sound quality could have been little better"
2049,"Just amazing, value for money"
2050,Good one but could be better.
2051,Worth to buy...good packing
2052,It was a good to order it and we can enjoy to having it and use it
2053,My second echo device. Much better than earlier generations.Amazing.
2054,I like it.Helpful products
2055,The best product i got from amazon. I just live echo dot. Its really worth. I got offer and smart bulp also. Love you amazon.
2056,Excellent home entertaining device.. . Have lots of features with smart bulb. I got it in Amazon big festival sale at rs 1999 with wipro wifi enabled smart bulb
2057,Don't like this echo dot
2058,As per program this product was to be given free with 43inch one plus TV but i have been charged you are requested to return the same
2059,Ok
2060,Does not play radio channels.. Does not understand skills.. Useless and dumb
2061,Very very nice not needed any review go and purchase nice domestic product.
2062,Very helpful to me .....very nice product. But some improvement necessary....like hindi language etc.....
2063,"I have to speak loud to listen to alexa, it didn't listen when I speak slow, also it didn't listen properly when a song is in full volume in alexa"
2064,Great product and I love it.
2065,Good device to learning
2066,Not useful as I thought it was more useful
2067,Happy with this product such a excellent add on to my gadget hub ❤️
2068,The service is very poor. It doesn't give access to music play list on Spotify. You should have a subscription to Amazon music to play songs. Otherwise it's only waste of money.
2069,Happy with it
2070,Sound quality it supper
2071,The media could not be loaded.
2072,"It does not have portable use, have to plug it to power source to use it, could be better if there was battery inbuilt."
2073,Very nice products.
2074,The product is suberb for the rate at which I paid but it should also be capable of working even without internet which is not possible now
2075,Voice recognition not at good in some cases
2076,Sound quality is very good. Voice recognition needs to be improved a bit
2077,Go for it. At first i bought it for my self then I ordered one more to gift my relative.
2078,"I like it's voice and it's intelligence ,some time you have to keep patience ,but that's okay ,this product is a revolution"
2079,Super features
2080,Echo is a good product
2081,"Sound quality is better than what you expect.integration is very smooth.there are some things to be finetuned regarding setting schedules and reminders,it's reminding in first person"
2082,awesome sound quality...
2083,
2084,"Alexa doesn't respond well, very tough to install"
2085,Excellent integration with other devices!
2086,"Thanks , good one"
